                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.7099,                0.50213,                0.89747,                0.98081,                      1,                  0.995,                0.81295,                0.81341,                0.49825,                0.91795,             0.00037974,             0.00037974,             0.00037974
                     80,                0.71783,                0.51423,                0.87097,                 0.9906,                      1,                  0.995,                0.83809,                0.78797,                0.50819,                0.92219,             0.00036324,             0.00036324,             0.00036324
                     81,                0.75596,                  0.552,                0.91272,                0.98938,                      1,                  0.995,                0.78547,                0.81129,                0.51784,                0.93346,             0.00034674,             0.00034674,             0.00034674
                     82,                0.72582,                0.51378,                0.90965,                0.98897,                      1,                  0.995,                0.80638,                0.82277,                0.51359,                0.92799,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.7633,                0.49996,                0.88827,                0.98845,                      1,                  0.995,                0.81459,                0.82136,                 0.5191,                0.91984,             0.00031373,             0.00031373,             0.00031373
                     84,                0.68047,                0.50158,                0.87536,                 0.9888,                      1,                  0.995,                0.79682,                0.79256,                0.50147,                0.93623,             0.00029723,             0.00029723,             0.00029723
                     85,                0.67879,                0.49132,                0.87746,                0.98997,                      1,                  0.995,                0.79407,                0.82467,                0.49684,                0.95143,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.6632,                0.46827,                0.87922,                0.99031,                      1,                  0.995,                0.79416,                 0.8531,                0.48987,                0.95881,             0.00026422,             0.00026422,             0.00026422
                     87,                0.81736,                0.53204,                 1.0003,                0.99031,                      1,                  0.995,                0.79281,                0.84179,                0.48452,                 0.9601,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70975,                0.47894,                0.88872,                0.99121,                      1,                  0.995,                0.82334,                0.80666,                0.48371,                 0.9387,             0.00023121,             0.00023121,             0.00023121
                     89,                0.68512,                0.46416,                0.88168,                 0.9911,                      1,                  0.995,                0.84536,                0.79423,                0.48863,                0.92521,             0.00021471,             0.00021471,             0.00021471
                     90,                0.66526,                0.46455,                 0.8819,                0.99091,                      1,                  0.995,                0.83936,                0.78713,                0.49828,                0.92135,             0.00019821,             0.00019821,             0.00019821
                     91,                0.64043,                0.50831,                0.89402,                0.99087,                      1,                  0.995,                 0.8398,                0.79542,                0.49631,                 0.9212,              0.0001817,              0.0001817,              0.0001817
                     92,                0.60843,                0.47016,                0.82971,                 0.9884,                      1,                  0.995,                0.84242,                0.80858,                0.48692,                0.92615,              0.0001652,              0.0001652,              0.0001652
                     93,                0.61477,                0.48799,                  0.865,                0.98835,                      1,                  0.995,                0.83957,                0.78895,                0.48835,                0.92206,              0.0001487,              0.0001487,              0.0001487
                     94,                0.58666,                0.46461,                0.82025,                0.98883,                      1,                  0.995,                0.83618,                0.77368,                0.48991,                0.91719,             0.00013219,             0.00013219,             0.00013219
                     95,                0.67717,                  0.477,                0.86338,                0.99014,                      1,                  0.995,                0.83731,                0.77209,                0.48432,                0.91915,             0.00011569,             0.00011569,             0.00011569
                     96,                0.67693,                0.46361,                0.87018,                 0.9907,                      1,                  0.995,                0.81739,                0.77906,                0.48449,                0.92642,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.57308,                 0.4694,                0.85525,                0.99074,                      1,                  0.995,                0.78746,                0.77899,                0.48762,                0.92599,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.64877,                0.46013,                0.89269,                0.99044,                      1,                  0.995,                0.78666,                0.78306,                0.48656,                0.92736,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.58733,                 0.4542,                0.83314,                   0.99,                      1,                  0.995,                0.79118,                0.78599,                0.48766,                0.92874,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.59699,                0.44263,                0.87062,                0.98997,                      1,                  0.995,                0.79173,                0.78452,                0.48964,                0.92791,             3.3173e-05,             3.3173e-05,             3.3173e-05
